Date,Close/Last,Volume,Open,High,Low
5/2/2018,$16.50 ,917226,$16.45 ,$16.85 ,$16.35 
5/3/2018,$16.55 ,1474164,$16.50 ,$16.75 ,$16.25 
5/4/2018,$16.30 ,1590612,$16.55 ,$16.80 ,$16.15 
5/7/2018,$17.20 ,2531423,$16.45 ,$17.40 ,$16.35 
5/8/2018,$16.80 ,4722445,$17.60 ,$17.60 ,$16.50 
5/9/2018,$16.05 ,2264534,$16.75 ,$16.85 ,$15.90 
5/10/2018,$16.45 ,1730171,$16.15 ,$16.85 ,$16.15 
5/11/2018,$16.30 ,1084570,$16.50 ,$16.60 ,$16.10 
5/14/2018,$16.40 ,971819,$16.35 ,$16.65 ,$16.35 
5/15/2018,$16.55 ,920073,$16.40 ,$16.70 ,$16.30 
5/16/2018,$16.60 ,792752,$16.50 ,$16.75 ,$16.41 
5/17/2018,$16.60 ,853222,$16.70 ,$17 ,$16.35 
5/18/2018,$16.10 ,1468975,$16.60 ,$16.70 ,$15.95 
5/21/2018,$16.05 ,1401689,$16.10 ,$16.25 ,$15.85 
5/22/2018,$15.60 ,1658532,$16.10 ,$16.20 ,$15.55 
5/23/2018,$15.20 ,1599097,$15.60 ,$15.73 ,$15.10 
5/24/2018,$15.25 ,2143131,$15.20 ,$15.50 ,$15.05 
5/25/2018,$15.05 ,1435363,$15.25 ,$15.53 ,$14.90 
5/29/2018,$14.45 ,2353846,$15 ,$15 ,$14.35 
5/30/2018,$14.85 ,1317563,$14.50 ,$14.95 ,$14.40 
5/31/2018,$14.80 ,1007856,$14.85 ,$14.95 ,$14.65 
6/1/2018,$14.80 ,927492,$14.85 ,$14.95 ,$14.60 
6/4/2018,$14.55 ,1409367,$14.75 ,$14.90 ,$14.40 
6/5/2018,$14.75 ,1337644,$14.55 ,$14.98 ,$14.45 
6/6/2018,$14.70 ,1399717,$14.70 ,$14.75 ,$14.45 
6/7/2018,$14.65 ,1246459,$14.70 ,$14.88 ,$14.50 
6/8/2018,$14.45 ,1363914,$14.50 ,$14.58 ,$14.25 
6/11/2018,$14.95 ,1593227,$14.45 ,$15.13 ,$14.45 
6/12/2018,$15.65 ,1594722,$14.95 ,$15.70 ,$14.80 
6/13/2018,$15.45 ,1044211,$15.95 ,$15.95 ,$15.38 
6/14/2018,$15.75 ,1296778,$15.45 ,$15.80 ,$15.35 
6/15/2018,$15.60 ,1449920,$15.75 ,$15.80 ,$15.43 
6/18/2018,$16 ,1406415,$15.55 ,$16.10 ,$15.50 
6/19/2018,$16.25 ,982858,$15.90 ,$16.25 ,$15.68 
6/20/2018,$16.60 ,1601811,$16.45 ,$16.73 ,$16 
6/21/2018,$17.20 ,2402827,$16.90 ,$17.55 ,$16.70 
6/22/2018,$16.60 ,2293777,$17.25 ,$17.40 ,$16.45 
6/25/2018,$16.50 ,1446801,$16.60 ,$16.70 ,$16.20 
6/26/2018,$15.85 ,2194453,$16.50 ,$16.54 ,$15.75 
6/27/2018,$15.60 ,1330029,$15.85 ,$16.30 ,$15.50 
6/28/2018,$16.15 ,1088804,$15.65 ,$16.20 ,$15.65 
6/29/2018,$15.90 ,998843,$16.20 ,$16.20 ,$15.80 
7/2/2018,$15.75 ,1158814,$15.85 ,$15.90 ,$15.55 
7/3/2018,$15.85 ,729271,$15.95 ,$15.95 ,$15.58 
7/5/2018,$16.80 ,1622161,$16 ,$16.85 ,$16 
7/6/2018,$17.30 ,1729495,$16.75 ,$17.45 ,$16.68 
7/9/2018,$17.15 ,1492809,$17.35 ,$17.60 ,$16.95 
7/10/2018,$17.35 ,896837,$17.30 ,$17.40 ,$17 
7/11/2018,$17.40 ,1720502,$17.35 ,$17.85 ,$17.11 
7/12/2018,$17 ,1898759,$17.40 ,$17.60 ,$16.90 
7/13/2018,$17.05 ,1442776,$17.05 ,$17.15 ,$16.53 
7/16/2018,$16.70 ,1269857,$17.15 ,$17.20 ,$16.50 
7/17/2018,$16.85 ,1042812,$16.75 ,$17.10 ,$16.55 
7/18/2018,$16.35 ,1443021,$16.65 ,$16.80 ,$16.10 
7/19/2018,$16.45 ,1613533,$16.25 ,$16.75 ,$15.75 
7/20/2018,$15.95 ,1306248,$16.40 ,$16.45 ,$15.90 
7/23/2018,$15.55 ,2479502,$15.85 ,$16 ,$15.25 
7/24/2018,$15.50 ,1607219,$15.50 ,$15.70 ,$15.30 
7/25/2018,$15.25 ,1412153,$15.55 ,$15.68 ,$15.20 
7/26/2018,$15.70 ,1278540,$15.30 ,$15.93 ,$15.25 
7/27/2018,$15.70 ,1091587,$15.75 ,$15.95 ,$15.37 
7/30/2018,$15.35 ,1158319,$15.55 ,$15.60 ,$15.25 
7/31/2018,$16.30 ,3673080,$15.45 ,$16.80 ,$15.45 
8/1/2018,$16.05 ,4306521,$16.70 ,$16.80 ,$15.50 
8/2/2018,$16.55 ,3211002,$15.85 ,$16.85 ,$15.65 
8/3/2018,$17.15 ,3052897,$16.60 ,$17.50 ,$16.60 
8/6/2018,$17.30 ,2086100,$17.15 ,$17.70 ,$16.95 
8/7/2018,$17.20 ,2165583,$17.40 ,$17.95 ,$17.15 
8/8/2018,$17.50 ,2554116,$17.15 ,$17.63 ,$17 
8/9/2018,$16.90 ,4497030,$17.55 ,$18.35 ,$16.70 
8/10/2018,$17.45 ,1852511,$16.85 ,$17.50 ,$16.55 
8/13/2018,$17.45 ,1301809,$17.35 ,$17.73 ,$17.25 
8/14/2018,$17.50 ,1820944,$17.55 ,$17.80 ,$17.28 
8/15/2018,$17.70 ,2298109,$17.45 ,$17.88 ,$17.30 
8/16/2018,$18.10 ,3841545,$17.30 ,$18.45 ,$17.20 
8/17/2018,$18.35 ,1956967,$18.05 ,$18.80 ,$17.98 
8/20/2018,$18.55 ,1723146,$18.45 ,$18.70 ,$18.10 
8/21/2018,$18.85 ,1510819,$18.60 ,$19.33 ,$18.60 
8/22/2018,$19 ,1620985,$18.85 ,$19.55 ,$18.70 
8/23/2018,$19.20 ,1089163,$19 ,$19.25 ,$18.51 
8/24/2018,$19.15 ,1301001,$19.15 ,$19.40 ,$19 
8/27/2018,$18.70 ,1486326,$19.15 ,$19.23 ,$18.70 
8/28/2018,$19.15 ,1199000,$18.70 ,$19.20 ,$18.50 
8/29/2018,$18.95 ,903796,$19.10 ,$19.25 ,$18.95 
8/30/2018,$18.80 ,793749,$18.85 ,$19 ,$18.65 
8/31/2018,$19.05 ,1256457,$18.75 ,$19.10 ,$18.50 
9/4/2018,$19.25 ,1709250,$19.05 ,$19.35 ,$18.90 
9/5/2018,$19.30 ,4048150,$19.20 ,$20.45 ,$18.67 
9/6/2018,$19.75 ,2160495,$19.45 ,$20 ,$19.25 
9/7/2018,$19.90 ,2437924,$19.50 ,$20.20 ,$19.45 
9/10/2018,$19.90 ,1501979,$19.95 ,$20.15 ,$19.50 
9/11/2018,$19.80 ,1451162,$20 ,$20.10 ,$19.45 
9/12/2018,$20.05 ,1081013,$19.70 ,$20.15 ,$19.60 
9/13/2018,$20.10 ,736541,$20.05 ,$20.15 ,$19.80 
9/14/2018,$19.80 ,5181657,$21 ,$21.30 ,$19.70 
9/17/2018,$19.95 ,2302798,$19.75 ,$20.05 ,$19.15 
9/18/2018,$20 ,1733624,$19.90 ,$20.65 ,$19.70 
9/19/2018,$20.65 ,2636788,$20.20 ,$20.70 ,$19.95 
9/20/2018,$20.75 ,1396287,$20.95 ,$20.95 ,$20.55 
9/21/2018,$21.35 ,3217449,$20.80 ,$21.45 ,$20.70 
9/24/2018,$20.40 ,2174955,$19.90 ,$20.70 ,$19.70 
9/25/2018,$19.90 ,2288929,$20.40 ,$20.40 ,$19.45 
9/26/2018,$20.15 ,1549040,$19.85 ,$20.35 ,$19.75 
9/27/2018,$20.45 ,1573390,$20.10 ,$20.60 ,$20.05 
9/28/2018,$20.50 ,1826976,$20.40 ,$20.60 ,$20.20 
10/1/2018,$19.86 ,1937457,$20.54 ,$20.60 ,$19.75 
10/2/2018,$19.76 ,2189998,$19.80 ,$20.15 ,$19.53 
10/3/2018,$20.09 ,1854768,$19.80 ,$20.27 ,$19.61 
10/4/2018,$19.97 ,1377611,$19.96 ,$20.25 ,$19.74 
10/5/2018,$19.70 ,1566458,$20 ,$20.11 ,$19.48 
10/8/2018,$19.60 ,1567200,$19.53 ,$19.86 ,$19.17 
10/9/2018,$19.61 ,998156,$19.63 ,$19.85 ,$19.54 
10/10/2018,$18.75 ,1748119,$19.65 ,$19.93 ,$18.71 
10/11/2018,$18.41 ,1515103,$18.55 ,$18.84 ,$18.40 
10/12/2018,$18.86 ,2051352,$18.64 ,$18.96 ,$18.50 
10/15/2018,$19.27 ,1577282,$18.84 ,$19.32 ,$18.63 
10/16/2018,$20.15 ,2450838,$19.41 ,$20.16 ,$19.37 
10/17/2018,$19.81 ,1676035,$20 ,$20.30 ,$19.73 
10/18/2018,$19.64 ,1609103,$19.65 ,$19.95 ,$19.44 
10/19/2018,$19.81 ,1527949,$19.77 ,$20.36 ,$19.65 
10/22/2018,$19.80 ,1925800,$19.92 ,$20.26 ,$19.77 
10/23/2018,$19.70 ,1180556,$19.54 ,$19.76 ,$19.29 
10/24/2018,$17.83 ,3652559,$19.46 ,$19.54 ,$17.83 
