Date,Close/Last,Volume,Open,High,Low
5/2/2018,$10.97 ,29193300,$11.10 ,$11.16 ,$10.97 
5/3/2018,$10.93 ,33257430,$10.90 ,$11.06 ,$10.83 
5/4/2018,$11.28 ,47803850,$10.88 ,$11.29 ,$10.87 
5/7/2018,$11.59 ,53940250,$11.32 ,$11.68 ,$11.30 
5/8/2018,$11.61 ,35163600,$11.49 ,$11.66 ,$11.40 
5/9/2018,$11.95 ,49500430,$11.65 ,$11.98 ,$11.57 
5/10/2018,$12.13 ,49269010,$11.98 ,$12.18 ,$11.95 
5/11/2018,$11.95 ,43841960,$11.89 ,$12.03 ,$11.69 
5/14/2018,$12.23 ,50149830,$12.14 ,$12.36 ,$12.11 
5/15/2018,$12.45 ,44074970,$12.18 ,$12.46 ,$12.16 
5/16/2018,$12.82 ,73308040,$12.64 ,$12.98 ,$12.62 
5/17/2018,$12.82 ,38051070,$12.79 ,$12.90 ,$12.66 
5/18/2018,$13 ,53973530,$13.06 ,$13.26 ,$12.91 
5/21/2018,$12.99 ,49530040,$13.25 ,$13.31 ,$12.88 
5/22/2018,$12.98 ,43211680,$13 ,$13.14 ,$12.71 
5/23/2018,$13.10 ,44440810,$12.93 ,$13.18 ,$12.90 
5/24/2018,$13.41 ,47324440,$13.06 ,$13.43 ,$13.03 
5/25/2018,$13.54 ,43797830,$13.40 ,$13.72 ,$13.36 
5/29/2018,$13.36 ,39402110,$13.45 ,$13.63 ,$13.26 
5/30/2018,$13.82 ,58109590,$13.48 ,$13.95 ,$13.48 
5/31/2018,$13.73 ,46699110,$13.74 ,$13.93 ,$13.69 
6/1/2018,$14.40 ,71452360,$13.98 ,$14.40 ,$13.92 
6/4/2018,$14.85 ,74382450,$14.76 ,$14.98 ,$14.52 
6/5/2018,$14.85 ,56008480,$14.85 ,$14.92 ,$14.63 
6/6/2018,$15.67 ,96957660,$15.07 ,$15.74 ,$15.04 
6/7/2018,$14.89 ,99561050,$15.83 ,$15.97 ,$14.85 
6/8/2018,$15.25 ,81834940,$14.52 ,$15.33 ,$14.31 
6/11/2018,$15.73 ,80610500,$15.21 ,$15.89 ,$15.01 
6/12/2018,$15.85 ,66691810,$15.84 ,$15.95 ,$15.43 
6/13/2018,$16.32 ,89738020,$15.81 ,$16.52 ,$15.78 
6/14/2018,$16.25 ,112862500,$16.62 ,$16.79 ,$15.58 
6/15/2018,$16.34 ,77526520,$16.06 ,$16.52 ,$15.82 
6/18/2018,$17.11 ,103906800,$16.18 ,$17.34 ,$16.13 
6/19/2018,$16.69 ,92438260,$16.85 ,$17.29 ,$16.31 
6/20/2018,$16.52 ,76161740,$16.83 ,$17.13 ,$16.37 
6/21/2018,$15.65 ,95440270,$16.65 ,$16.87 ,$15.46 
6/22/2018,$15.80 ,59200310,$15.78 ,$15.91 ,$15.56 
6/25/2018,$15.11 ,94289130,$15.64 ,$15.74 ,$14.54 
6/26/2018,$15.50 ,54113220,$15.32 ,$15.60 ,$15.10 
6/27/2018,$14.97 ,55904660,$15.65 ,$15.76 ,$14.96 
6/28/2018,$15.31 ,48655280,$14.85 ,$15.36 ,$14.75 
6/29/2018,$14.99 ,41410390,$15.41 ,$15.49 ,$14.98 
7/2/2018,$15.16 ,43311830,$14.80 ,$15.18 ,$14.74 
7/3/2018,$15 ,32094030,$15.21 ,$15.34 ,$14.96 
7/5/2018,$15.50 ,40538700,$15.13 ,$15.50 ,$15.02 
7/6/2018,$16.36 ,65039470,$15.52 ,$16.39 ,$15.48 
7/9/2018,$16.61 ,58455450,$16.73 ,$16.84 ,$16.17 
7/10/2018,$16.55 ,36698850,$16.59 ,$16.65 ,$16.31 
7/11/2018,$16.27 ,42439080,$16.15 ,$16.53 ,$16.02 
7/12/2018,$16.56 ,44077820,$16.41 ,$16.79 ,$16.38 
7/13/2018,$16.27 ,40607950,$16.68 ,$16.69 ,$16.22 
7/16/2018,$16.58 ,64916850,$16.42 ,$17 ,$16.41 
7/17/2018,$16.87 ,42185430,$16.50 ,$16.88 ,$16.48 
7/18/2018,$16.85 ,40791720,$16.94 ,$16.99 ,$16.55 
7/19/2018,$16.71 ,41147930,$16.71 ,$16.88 ,$16.55 
7/20/2018,$16.50 ,42867630,$16.66 ,$16.88 ,$16.44 
7/23/2018,$16.66 ,44866840,$16.47 ,$16.68 ,$15.90 
7/24/2018,$16.19 ,58080570,$16.75 ,$16.86 ,$16.11 
7/25/2018,$16.05 ,80578490,$16.30 ,$16.39 ,$15.72 
7/26/2018,$18.35 ,190642900,$17.16 ,$18.45 ,$16.83 
7/27/2018,$18.94 ,161643700,$19.07 ,$19.88 ,$18.31 
7/30/2018,$19.42 ,160260900,$19.40 ,$20.18 ,$19.31 
7/31/2018,$18.33 ,118105600,$19.35 ,$19.50 ,$18.27 
8/1/2018,$18.48 ,75305700,$18.34 ,$18.95 ,$18.32 
8/2/2018,$18.79 ,52758040,$18.17 ,$18.83 ,$18 
8/3/2018,$18.49 ,53062330,$18.94 ,$19.06 ,$18.37 
8/6/2018,$19.43 ,83336110,$18.89 ,$19.44 ,$18.46 
8/7/2018,$19.56 ,72507680,$19.53 ,$19.71 ,$19.08 
8/8/2018,$19.58 ,51958490,$19.46 ,$19.77 ,$19.26 
8/9/2018,$19.10 ,46385180,$19.58 ,$19.71 ,$19.08 
8/10/2018,$19.06 ,65652850,$19.09 ,$19.48 ,$18.85 
8/13/2018,$19.73 ,81226280,$19.16 ,$19.93 ,$19.12 
8/14/2018,$20.02 ,88892330,$19.97 ,$20.28 ,$19.63 
8/15/2018,$19.70 ,86157320,$19.86 ,$20.10 ,$19.20 
8/16/2018,$19.33 ,69361230,$19.86 ,$20.07 ,$19.25 
8/17/2018,$19.77 ,60507310,$19.12 ,$19.82 ,$18.73 
8/20/2018,$19.98 ,62883850,$19.79 ,$20.08 ,$19.35 
8/21/2018,$20.40 ,54828680,$19.98 ,$20.42 ,$19.86 
8/22/2018,$20.90 ,61849990,$20.28 ,$20.92 ,$20.21 
8/23/2018,$22.29 ,111741600,$21.19 ,$22.32 ,$21.14 
8/24/2018,$23.98 ,163473500,$22.91 ,$24 ,$22.67 
8/27/2018,$25.26 ,323844500,$24.94 ,$27.30 ,$24.63 
8/28/2018,$25.05 ,215300400,$25.51 ,$26.18 ,$24.04 
8/29/2018,$25.20 ,142838100,$24.36 ,$25.41 ,$24.01 
8/30/2018,$24.89 ,103310600,$25.29 ,$25.67 ,$24.76 
8/31/2018,$25.17 ,65013800,$24.89 ,$25.24 ,$24.72 
9/4/2018,$28.06 ,191535000,$25.62 ,$28.11 ,$25.57 
9/5/2018,$28.51 ,256903900,$29.41 ,$29.94 ,$26.84 
9/6/2018,$27.84 ,143349900,$28.12 ,$28.58 ,$27.19 
9/7/2018,$27.38 ,123108000,$26.96 ,$28.27 ,$26.80 
9/10/2018,$29.89 ,161809900,$28.15 ,$29.93 ,$27.84 
9/11/2018,$30.10 ,159043200,$30.02 ,$30.59 ,$29.37 
9/12/2018,$32.21 ,196501400,$29.91 ,$32.29 ,$29.45 
9/13/2018,$30.48 ,302743600,$33.16 ,$34.14 ,$29.87 
9/14/2018,$32.72 ,217312000,$31.43 ,$33.09 ,$30.54 
9/17/2018,$32.43 ,179847400,$31.75 ,$33.23 ,$31.60 
9/18/2018,$31.93 ,176268000,$32.99 ,$33.37 ,$31.20 
9/19/2018,$31.21 ,123939700,$31.52 ,$31.83 ,$30.51 
9/20/2018,$31.18 ,122652200,$32.10 ,$32.20 ,$30.64 
9/21/2018,$31.02 ,129260500,$31.19 ,$32.42 ,$30.91 
9/24/2018,$32.61 ,117777200,$31.13 ,$32.65 ,$30.91 
9/25/2018,$32.57 ,118275300,$33.18 ,$33.60 ,$32.19 
9/26/2018,$32.19 ,79114970,$32.40 ,$32.60 ,$31.72 
9/27/2018,$32.59 ,87619620,$31.86 ,$32.63 ,$31.39 
9/28/2018,$30.89 ,165268800,$32.24 ,$32.78 ,$29.98 
10/1/2018,$31.42 ,94623810,$30.69 ,$31.91 ,$30.25 
10/2/2018,$29.02 ,144627000,$30.73 ,$30.82 ,$28.65 
10/3/2018,$28.43 ,189940600,$29.04 ,$29.22 ,$26.54 
10/4/2018,$27.78 ,95743030,$27.99 ,$28.83 ,$27.37 
10/5/2018,$27.35 ,87541090,$28.07 ,$28.47 ,$26.93 
10/8/2018,$26.46 ,103591300,$26.73 ,$27.54 ,$25.96 
10/9/2018,$27.24 ,105135000,$26.15 ,$27.71 ,$26 
10/10/2018,$25 ,146250000,$27.38 ,$27.40 ,$24.91 
10/11/2018,$25.30 ,146516800,$24.74 ,$26.20 ,$24.55 
10/12/2018,$26.34 ,110862700,$26.77 ,$26.97 ,$25.67 
10/15/2018,$26.26 ,70325660,$26.38 ,$26.77 ,$25.75 
10/16/2018,$28.18 ,92170210,$26.63 ,$28.23 ,$26.17 
10/17/2018,$27.30 ,89300800,$28.41 ,$28.53 ,$26.92 
10/18/2018,$26.62 ,79456530,$27.08 ,$27.75 ,$26.40 
10/19/2018,$23.66 ,130523600,$27.03 ,$27.10 ,$23.60 
10/22/2018,$25.03 ,113831100,$24.46 ,$25.64 ,$24.09 
10/23/2018,$25.09 ,101347900,$24.18 ,$25.26 ,$23.85 
