Date,Close/Last,Volume,Open,High,Low
5/2/2018,$13.45 ,3180332,$13.86 ,$13.87 ,$13.35 
5/3/2018,$12.83 ,5091241,$13.42 ,$13.49 ,$12.80 
5/4/2018,$13 ,4903439,$12.83 ,$13.08 ,$12.74 
5/7/2018,$12.89 ,3118520,$13.02 ,$13.03 ,$12.78 
5/8/2018,$12.79 ,3839037,$12.84 ,$12.94 ,$12.55 
5/9/2018,$12.93 ,3752195,$12.82 ,$12.96 ,$12.61 
5/10/2018,$13.03 ,3118480,$12.96 ,$13.20 ,$12.88 
5/11/2018,$12.71 ,5507157,$12.60 ,$12.84 ,$12.47 
5/14/2018,$13.26 ,5907362,$12.69 ,$13.48 ,$12.61 
5/15/2018,$13.51 ,3789659,$13.25 ,$13.61 ,$13.23 
5/16/2018,$13.55 ,6734878,$13.75 ,$13.88 ,$13.33 
5/17/2018,$13.62 ,2912065,$13.50 ,$13.77 ,$13.48 
5/18/2018,$12.46 ,10236620,$13.53 ,$13.53 ,$12.26 
5/21/2018,$12.78 ,5065713,$12.52 ,$12.89 ,$12.49 
5/22/2018,$12.67 ,4540163,$12.78 ,$12.91 ,$12.54 
5/23/2018,$12.72 ,3160066,$12.54 ,$12.75 ,$12.44 
5/24/2018,$12.74 ,3077023,$12.58 ,$12.78 ,$12.45 
5/25/2018,$12.67 ,2438876,$12.76 ,$12.80 ,$12.58 
5/29/2018,$13.05 ,4238572,$12.58 ,$13.11 ,$12.55 
5/30/2018,$13.42 ,4974828,$13.10 ,$13.60 ,$12.89 
5/31/2018,$13.20 ,6449597,$13.48 ,$13.59 ,$12.97 
6/1/2018,$13.72 ,25823790,$12.80 ,$13.72 ,$12.79 
6/4/2018,$14.24 ,7293523,$13.79 ,$14.25 ,$13.44 
6/5/2018,$14.60 ,5690065,$14.24 ,$14.65 ,$14 
6/6/2018,$14.42 ,5142561,$14.68 ,$14.69 ,$14.25 
6/7/2018,$14.49 ,3213591,$14.50 ,$14.65 ,$14.37 
6/8/2018,$14.53 ,5030509,$14.53 ,$14.62 ,$14.41 
